Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 09:00 AM,2016,06,27,09,81,2,26.4,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 10:00 AM,2016,06,27,10,81,2,26.2,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 11:00 AM,2016,06,27,11,80,2,25.7,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 12:00 PM,2016,06,27,12,79,2,25.4,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 01:00 PM,2016,06,27,13,77,2,24.5,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 02:00 PM,2016,06,27,14,76,2,24.0,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 03:00 PM,2016,06,27,15,75,2,23.4,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 04:00 PM,2016,06,27,16,73,2,22.7,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 05:00 PM,2016,06,27,17,72,2,22.3,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 06:00 PM,2016,06,27,18,72,2,22.1,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 07:00 PM,2016,06,27,19,71,2,21.5,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-27 08:00 PM,2016,06,27,20,68,2,20.0,29.0,UG/M3,1 Hr,Valid
